rFFA,lFFA,rpSTS,lpSTS,rOPA,lOPA,rPPA,lPPA,rRSC,lRSC,rLOC,lLOC,rEVC,lEVC
-0.647461057,-0.093854685,-0.387018138,-0.292334803,-1.008309213,-0.488454771,-0.835398008,-0.773378524,-0.727617718,-0.635033641,-0.549473736,-0.114562741,-1.7949569,-1.69656941
-0.510255344,-0.065954798,-0.292033342,0.028102395,-0.699741219,-0.673734738,-0.457885675,-0.394215244,-0.35498372,-0.409789262,-0.710977157,-0.350102676,-1.160698869,-0.976629997
-0.276971527,0.025038076,0.011520265,0.302840201,0.106013995,-0.204384105,-0.098780732,-0.043388931,0.014207676,-0.13821915,-0.497658039,-0.384035668,-0.892905034,-0.75815206
-0.174134684,-0.262555816,-0.350850429,-0.197495656,0.245794966,-0.288893504,0.005575805,-0.075766083,0.037317772,-0.10685173,-0.497404406,-0.491309586,-0.746039235,-0.670377891
-0.413873255,-0.426627038,-0.39771957,-0.005272104,-0.338781991,-0.423900641,-0.193292228,-0.177983649,0.107283092,0.124591335,-0.762135349,-0.672528062,-0.966770988,-1.064076841
-0.526555666,-0.364573548,-0.509208962,0.195392967,-0.103111048,0.027685628,0.065539617,-0.088719203,0.153311566,0.116363013,-0.743328383,-0.542102047,-0.912365487,-0.778212464
-0.284282473,-0.415284137,-0.412989536,-0.157066261,0.063149735,0.212507335,0.084238028,0.089231811,0.209856249,0.226595558,-0.845682134,-0.679792401,-1.127054573,-0.948971964
-0.418962379,-0.301258966,-0.386999475,-0.083134089,0.277301056,0.430669866,0.210422184,0.109993558,0.203569335,0.264331376,-0.993351319,-0.507039491,-0.614050467,-0.212788928
-0.08951607,0.025825804,-0.155199339,0.127585793,0.469285234,0.535945743,0.484694001,0.354886398,0.124660203,0.295152478,-0.50157474,-0.169470632,0.146209988,0.587784726
0.164787069,0.165104394,-0.119379286,0.171886845,0.324158358,0.555393548,0.33411768,0.331580746,-0.002716507,-0.047097464,-0.115384222,0.013537271,0.427667315,0.763445902
0.036746476,0.329014214,0.037125929,0.315769254,0.09731402,0.268595903,0.073237376,0.106525329,-0.151011562,-0.195401719,0.168586732,0.034185363,0.555646174,0.873410397
-0.034505375,-0.031613001,0.075929787,-0.045839403,-0.222078843,0.017427192,-0.10733476,-0.159085174,-0.132503344,-0.079164709,-0.164386758,-0.218549633,0.533123335,0.566090383
-0.26976169,-0.085298055,-0.523712832,-0.04435046,-0.035532293,0.128481314,-0.064399107,-0.107071134,-0.094694151,-0.098362446,-0.610558152,-0.374390676,0.579486492,0.519611923
-0.129621819,0.1142295,-0.519597545,0.070655783,-0.082149576,0.014891143,-0.014098799,-0.042725529,-0.088083566,-0.154766253,-0.79450012,-0.463285891,0.59969002,0.691598507
-0.019924469,0.1188212,-0.457280618,-0.133542508,-0.391158262,-0.362635398,-0.070626147,-0.075894431,-0.140840307,-0.27426512,-0.113225394,-0.11203299,0.793985954,1.09722026
