C-RS2,C-LS2,C-RMFG,C-LMFG,C-RInsula,C-LInsula,C-AMCC
0.319269476,0.263739207,0.088741123,0.197055113,0.090208432,0.287427965,0.084041101
0.325070985,0.209538915,0.186626776,0.218395122,0.085449541,-0.0228501,0.174879089
0.146647754,0.165349202,-0.047864024,0.093767484,-0.070986689,-0.061012585,-0.004037298
0.188263291,0.179368575,0.196047677,0.074387974,0.186636424,0.04591464,0.091348995
0.164638812,0.147378465,0.217238215,0.114962066,-0.005051824,0.043361155,-0.011209939
0.199868012,0.071153622,-0.006883241,0.027441257,0.145287906,0.224161359,0.117029583
0.178834386,0.166935264,0.018913124,0.228480801,0.094285293,0.002457247,0.193500637
0.227447972,-0.035580739,0.252330211,0.327445213,0.008526924,0.043268006,0.21668423
-0.130295252,-0.278829351,0.324829382,0.207862159,-0.071574749,-0.089835115,0.006292284
-0.409926007,-0.448290547,0.124522695,0.015677385,-0.080969307,-0.055962028,-0.167180264
-0.355878414,-0.369264725,-0.086937817,-0.047198186,0.051316284,0.125616262,-0.14445215
-0.280378558,-0.103329474,-0.121219426,0.049306192,-0.155940048,-0.049756844,-0.02841203
-0.240502921,-0.118791516,0.050426823,0.015173612,0.164916347,0.187544922,-0.057708769
-0.00535034,0.021410761,0.010251975,0.08020821,-0.009229042,0.040622157,0.008465841
-0.069750401,-0.003296003,0.069218185,-0.021911709,-0.012133995,-0.180966557,-0.12572484
-0.22174784,-0.201295328,-0.014137528,-0.219779774,-0.160063357,-0.045330023,-0.209563939
-0.049431975,-0.075862679,0.088539327,-0.079889363,0.093040866,-0.104308621,0.034308005
0.036224111,-0.217881371,-0.246900223,-0.187251434,0.093011798,0.151017842,-0.011041912
0.010063473,-0.004372221,-0.407195351,-0.428070198,0.032794407,8.70E-05,0.072370459
-0.073939853,0.149876203,-0.533508534,-0.447215682,-0.071953449,-0.311696584,0.036181124
-0.103449276,0.068757787,-0.491700786,-0.139705314,0.161806724,0.066780095,0.033687546
-0.042242034,0.183563429,-0.205086541,-0.054526534,-0.103336853,-0.031515228,-0.091566559
-0.248526268,-0.109857096,-0.111364984,-0.032268288,-0.154613104,-0.147513092,-0.079828873
-0.08010625,0.121970455,0.018247212,0.136853191,-0.301132759,-0.166569811,-0.022338879
-0.047140837,-0.092762042,0.114660679,0.03686642,-0.169120161,-0.199561318,-0.135832197
-0.186585076,-0.397160977,-0.072884684,-0.061633006,-0.093541338,0.069815254,-0.07107853
-0.151790941,-0.384148257,-0.211759777,-0.26718496,-0.178023043,0.098227815,-0.074720147
0.193370889,0.194532512,0.116838657,0.062577617,0.110098921,0.24773595,0.0577494
0.238382228,0.41908484,0.118005392,0.003123285,0.03028211,0.232747465,0.177693899
0.049476898,0.383936274,0.110206823,-0.018668298,0.116225536,0.014221852,0.094104959
-0.003287536,0.144620246,0.193856174,-0.065736825,0.021389708,-0.117896719,0.026838999
0.134036262,0.207586899,0.149076385,-0.037833997,0.171722986,-0.058809094,0.114157839
0.064879671,0.013775104,-0.160980845,0.067989484,-0.052880824,-0.017166684,0.024016393
0.020249715,0.055781132,0.165748829,0.045092666,0.003265739,0.141319215,-0.032913659
0.060955734,0.005821411,0.191952539,-0.02498829,0.167892423,0.063287617,0.086656994
-0.034188657,-0.20545419,0.046715124,-0.222754789,0.024198633,0.0677745,-0.005748644
0.031379607,0.00587546,-0.265613522,-0.161043259,0.164067805,0.142992305,-0.015990107
0.185476127,0.182822808,-0.026151698,-0.162137267,-0.081187469,-0.026601175,0.008180881
