C-RTPJ,C-LTPJ,C-PC,C-DMPFC,C-MMPFC,C-VMPFC
0.306571147,0.286313041,-0.302674433,0.34550076,0.164725464,-0.216830301
0.110677516,0.018668984,-0.341358109,0.218213845,0.312373615,0.100183208
0.043615528,-0.065514364,-0.018535897,0.246481445,0.351651965,-0.044970934
-0.032058483,0.02152445,0.407052432,0.419260953,0.448903235,0.184911594
0.023816434,0.114126009,0.309225009,0.170834866,0.219761502,0.092208923
0.107009923,0.088231356,0.2807606,-0.098286813,0.128363066,-0.011070632
-0.023161705,0.147356943,0.223640562,0.313428832,0.150881949,0.05924187
-0.081136006,0.059083972,0.129491098,0.329989975,0.219640585,0.222284208
-0.018458919,0.019999962,0.117632647,0.146941475,0.110413984,0.265553733
-0.009341283,-0.011459444,-0.071978557,-0.055360212,0.036516965,0.139804577
0.011673764,-0.038974949,-0.101484638,-0.016992665,-0.41467221,0.010097055
-0.091898562,-0.134843959,-0.220943986,0.089966542,-0.36330701,-0.063300298
-0.252726818,-0.154408276,0.03776328,0.033592872,-0.101793688,0.098898748
-0.29021781,-0.111218198,0.262850351,0.068291917,0.195164749,0.217345021
-0.186896758,-0.140265505,0.236597694,0.316990513,0.321501798,0.10819783
-0.158092328,-0.14846061,0.195667147,-0.278391657,0.0048639,0.029285245
-0.037741223,-0.087600052,0.094745409,-0.19638868,-0.096886438,0.120646486
-0.115658951,0.066736089,0.044349364,-0.272949337,0.10546763,0.099688077
0.057959852,0.137200087,-0.246855166,-0.379914738,-0.014647519,-0.138417861
0.039273421,0.037999739,-0.562542657,-0.157743625,-0.169452126,-0.224772431
0.110494912,0.165626006,-0.486593766,-0.194899655,-0.239076461,-0.043792818
0.137326364,0.222929652,-0.675059516,-0.394187216,-0.150415802,-0.20421093
-0.028096974,-0.031099577,-0.666429387,-0.482614725,-0.137481387,-0.122863749
0.022468441,-0.074706361,-0.392269446,-0.340819602,-0.233337879,0.113300032
0.01391908,0.033938162,-0.113345524,-0.290894768,-0.518273893,-0.165955283
-0.100887228,0.084911897,0.253270013,-0.186175134,-0.15103899,-0.100478948
-0.093325263,-0.007873594,0.502536042,-0.142424424,0.007202276,0.186684199
0.132085008,0.119998163,0.461769828,0.173148514,0.311158702,0.308111308
0.053279586,-0.085693034,0.183798092,0.172848038,0.266964467,0.276120331
-0.077784515,-0.069007475,0.009525798,0.399044497,0.161947433,0.251377453
-0.00408712,0.051212635,-0.004111567,0.297637451,0.447356434,0.506415439
-0.048495957,0.075846806,-0.060436955,0.176414957,0.258976017,0.285996536
0.057535569,0.009594746,-0.074023271,-0.050044886,-0.068084081,0.093067728
0.080312419,-0.196404672,0.072650584,-0.0895175,-0.104606932,-0.168298662
0.027828631,-0.107800704,0.082766294,-0.015355319,-0.024586081,-0.196934569
-0.003565236,0.004449739,-0.04925076,0.035906603,-0.049464658,-0.197107874
-0.118663989,-0.352248671,0.024566758,0.04156453,0.01721377,-0.001192443
-0.073479955,-0.249752344,-0.118739668,-0.148568889,-0.151686405,-0.18430265
-0.021342253,0.063931775,-0.01449229,-0.116937943,-0.084166678,-0.276045515
0.011461782,0.073663351,0.212373246,-0.031332654,0.04500303,-0.217455486
0.020115918,-0.0387472,0.250227783,0.048574889,0.061199368,-0.056914019
-0.028541778,-0.063984767,0.148813383,-0.089655693,0.028971888,-0.13319635
0.084486796,0.08928816,0.082876008,0.021423144,0.005711538,-0.184472912
-0.090997492,0.069388219,-0.011632614,0.216699475,0.097098391,-0.149103101
-0.042165106,0.208132196,0.184637125,0.28941852,0.114887353,0.225737026
-0.013496839,0.169892933,-0.014407089,0.402383456,0.202802194,-0.004229603
0.183720398,0.320577716,-0.220611573,0.359643077,0.029153249,0.030379125
0.0335579,0.188113257,-0.35888835,0.448028164,-0.083688575,-0.10000583
0.064952294,0.071756934,-0.421421643,0.14934736,-0.013840911,-0.257622243
0.187243156,0.142232755,-0.152144815,-0.31954148,-0.340945041,-0.224650277
0.147316532,-0.016350536,0.342917904,-0.223734325,-0.27809935,-0.025408666
-0.031863587,-0.263549243,0.620707622,0.032623861,0.019433097,0.213842947
-0.166305925,-0.474447701,0.636390871,-0.25214229,4.95E-06,0.110012783
-0.045369344,-0.297323757,0.469930589,-0.057632909,0.079338528,0.162649917
-0.062630555,-0.11660866,0.126469593,0.077478192,-0.08363133,-0.009257941
-0.01060354,0.004918358,-0.185979433,-0.076643528,0.030378309,-0.073996267
0.105235578,0.243577855,-0.234531211,0.327969542,-0.129204395,-0.195120325
0.029999596,0.068623052,-0.444764804,0.025098824,-0.051828378,-0.140904181
0.118411236,0.015880848,-0.541222062,0.012548482,0.08367556,0.207076855
0.149130177,0.229956871,-0.60808553,0.097960396,0.252827924,0.304876757
0.094662305,0.130307378,-0.41587456,-0.168043438,0.13695593,0.115756836
-0.07174829,-0.108523466,-0.082641431,-0.085451825,0.227832227,0.097517649
-0.123668005,-0.131458216,0.29074553,0.028282457,0.099399426,-0.017785119
-0.153709713,0.006341967,0.364020072,-0.099603406,-0.004617908,0.01520715
0.010359846,0.075785431,0.288587888,-0.116116963,-0.017141795,0.229672535
0.123411035,0.147248694,0.220539794,0.167926934,0.296711918,0.427031342
-0.010503504,0.163344843,-0.018990172,0.051787222,0.273429806,0.418604217
-0.072894619,0.124388536,0.00725081,0.14442905,0.274045794,0.451033132
-0.008975444,0.016120873,0.14390456,0.091692556,0.094617043,-0.078032751
0.023264835,0.057627752,0.323457915,0.043106732,-0.188474751,-0.236546183
-0.169273276,-0.124458302,0.057776554,-0.180646501,-0.429057357,-0.326422418
-0.181910886,-0.028766695,-0.300897413,-0.205823743,-0.496707624,-0.113782264
-0.102253461,-0.188951059,-0.450971489,-0.30073204,-0.286849998,-0.088261383
0.023854129,-0.020353902,-0.258947952,-0.133686158,0.02398292,-0.112193201
-0.001972965,-0.072465175,-0.166743691,-0.224451243,0.035305923,-0.019054611
-0.118202467,-0.194763978,-0.074133691,-0.190913195,0.054012564,-0.151706205
-0.027695478,-0.105513048,-0.113311108,-0.420130411,-0.182314251,-0.252770081
0.088123481,-0.068254175,-0.056508935,-0.236266761,-0.031463497,-0.090068145
0.069857467,0.004173789,-0.05566041,0.093274779,0.298517665,0.013647764
-0.056629229,-0.088995035,0.121969616,0.177653086,0.184566148,0.225121391
-0.034896366,-0.283639086,0.153949974,0.044559748,-0.082072919,0.061852563
-0.166988768,-0.262101428,0.108076462,-0.111654103,-0.308765762,-0.390641038
-0.089824842,-0.08387303,-0.090792419,-0.212324123,-0.203793796,-0.331848519
-0.11652539,-0.067232531,-0.22696647,-0.261975246,-0.038818986,-0.292353342
0.013089105,0.052639035,-0.066796899,0.068278749,-0.106578631,-0.196685172
0.210365838,0.302908625,-0.16625735,0.11516066,-0.160719179,-0.097292955
0.16182376,0.257702062,-0.171992669,0.066306485,-0.098273449,-0.139316831
-0.00886682,0.128197985,-0.000399967,0.02333925,-0.102879854,-0.303145276
0.020840185,-0.00724983,0.260843096,0.137315839,-0.082450123,-0.036390657
-0.027673306,-0.026614097,0.262184014,0.481583666,0.073310752,0.21680212
0.132992413,-0.116028728,0.386788758,0.306031208,0.096012756,0.270802284
0.133231386,0.071100209,0.194570436,-0.013938489,-0.269775725,-0.005260331
0.112397307,0.291102188,0.130732858,0.066874579,-0.093132839,0.101475669
0.124048536,0.272210445,0.028005655,-0.065827525,0.056920764,-0.049260805
0.076531102,0.161798027,0.126761726,0.109229073,0.057387156,0.365862474
0.110090446,0.013254431,0.365818774,0.277722894,0.359106411,0.15134085
0.061906106,0.007964154,0.179246806,0.3255258,0.629541366,0.327514107
0.11282376,0.055352272,0.138478271,0.278760484,0.683772401,0.490359389
0.111928519,0.037566853,0.181572338,0.365284363,0.477555988,0.47998929
0.09014573,0.051119783,0.239212948,0.02960755,0.170495711,0.181087631
