rFFA	lFFA	rpSTS	lpSTS	rOPA	lOPA	rPPA	lPPA	rRSC	lRSC	rLOC	lLOC	rEVC	lEVC
-0.647461057	-0.093854685	-0.387018138	-0.292334803	-1.008309213	-0.488454771	-0.835398008	-0.773378524	-0.727617718	-0.635033641	-0.549473736	-0.114562741	-1.7949569	-1.69656941
-0.5788582005	-0.0799047415	-0.33952574	-0.132116204	-0.854025216	-0.5810947545	-0.6466418415	-0.583796884	-0.541300719	-0.5224114515	-0.6302254465	-0.2323327085	-1.4778278845	-1.3365997035
-0.510255344	-0.065954798	-0.292033342	0.028102395	-0.699741219	-0.673734738	-0.457885675	-0.394215244	-0.35498372	-0.409789262	-0.710977157	-0.350102676	-1.160698869	-0.976629997
-0.3936134355	-0.020458361	-0.1402565385	0.165471298	-0.296863612	-0.4390594215	-0.2783332035	-0.2188020875	-0.170388022	-0.274004206	-0.604317598	-0.367069172	-1.0268019515	-0.8673910285
-0.276971527	0.025038076	0.011520265	0.302840201	0.106013995	-0.204384105	-0.098780732	-0.043388931	0.014207676	-0.13821915	-0.497658039	-0.384035668	-0.892905034	-0.75815206
-0.2255531055	-0.11875887	-0.169665082	0.0526722725	0.1759044805	-0.2466388045	-0.0466024635	-0.059577507	0.025762724	-0.12253544	-0.4975312225	-0.437672627	-0.8194721345	-0.7142649755
-0.174134684	-0.262555816	-0.350850429	-0.197495656	0.245794966	-0.288893504	0.005575805	-0.075766083	0.037317772	-0.10685173	-0.497404406	-0.491309586	-0.746039235	-0.670377891
-0.2940039695	-0.344591427	-0.3742849995	-0.10138388	-0.0464935125	-0.3563970725	-0.0938582115	-0.126874866	0.072300432	0.0088698025	-0.6297698775	-0.581918824	-0.8564051115	-0.867227366
-0.413873255	-0.426627038	-0.39771957	-0.005272104	-0.338781991	-0.423900641	-0.193292228	-0.177983649	0.107283092	0.124591335	-0.762135349	-0.672528062	-0.966770988	-1.064076841
-0.4702144605	-0.395600293	-0.453464266	0.0950604315	-0.2209465195	-0.1981075065	-0.0638763055	-0.133351426	0.130297329	0.120477174	-0.752731866	-0.6073150545	-0.9395682375	-0.9211446525
