task	desc	conds	weights
pixar	mind-body	mind body	1 -1
pixar	faces-scenes	faces scenes	1 -1
pixar	RTPJ-S2	RTPJ LTPJ PC DMPFC MMPFC VMPFC RS2 LS2 RMFG LMFG RInsula LInsula AMCC C-RTPJ C-LTPJ C-PC C-DMPFC C-MMPFC C-VMPFC C-RS2 C-LS2 C-RMFG C-LMFG C-RInsula C-LInsula C-AMCC	1 0 0 0 0 0 -.5 -.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
pixar	LTPJ-S2	RTPJ LTPJ PC DMPFC MMPFC VMPFC RS2 LS2 RMFG LMFG RInsula LInsula AMCC C-RTPJ C-LTPJ C-PC C-DMPFC C-MMPFC C-VMPFC C-RS2 C-LS2 C-RMFG C-LMFG C-RInsula C-LInsula C-AMCC	0 1 0 0 0 0 -.5 -.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
pixar	PC-S2	RTPJ LTPJ PC DMPFC MMPFC VMPFC RS2 LS2 RMFG LMFG RInsula LInsula AMCC C-RTPJ C-LTPJ C-PC C-DMPFC C-MMPFC C-VMPFC C-RS2 C-LS2 C-RMFG C-LMFG C-RInsula C-LInsula C-AMCC	0 0 1 0 0 0 -.5 -.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
pixar	DMPFC-S2	RTPJ LTPJ PC DMPFC MMPFC VMPFC RS2 LS2 RMFG LMFG RInsula LInsula AMCC C-RTPJ C-LTPJ C-PC C-DMPFC C-MMPFC C-VMPFC C-RS2 C-LS2 C-RMFG C-LMFG C-RInsula C-LInsula C-AMCC	0 0 0 1 0 0 -.5 -.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
pixar	MMPFC-S2	RTPJ LTPJ PC DMPFC MMPFC VMPFC RS2 LS2 RMFG LMFG RInsula LInsula AMCC C-RTPJ C-LTPJ C-PC C-DMPFC C-MMPFC C-VMPFC C-RS2 C-LS2 C-RMFG C-LMFG C-RInsula C-LInsula C-AMCC	0 0 0 0 1 0 -.5 -.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
pixar	VMPFC-S2	RTPJ LTPJ PC DMPFC MMPFC VMPFC RS2 LS2 RMFG LMFG RInsula LInsula AMCC C-RTPJ C-LTPJ C-PC C-DMPFC C-MMPFC C-VMPFC C-RS2 C-LS2 C-RMFG C-LMFG C-RInsula C-LInsula C-AMCC	0 0 0 0 0 1 -.5 -.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
pixar	RS2-TPJ	RTPJ LTPJ PC DMPFC MMPFC VMPFC RS2 LS2 RMFG LMFG RInsula LInsula AMCC C-RTPJ C-LTPJ C-PC C-DMPFC C-MMPFC C-VMPFC C-RS2 C-LS2 C-RMFG C-LMFG C-RInsula C-LInsula C-AMCC	-.5 -.5 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
pixar	LS2-TPJ	RTPJ LTPJ PC DMPFC MMPFC VMPFC RS2 LS2 RMFG LMFG RInsula LInsula AMCC C-RTPJ C-LTPJ C-PC C-DMPFC C-MMPFC C-VMPFC C-RS2 C-LS2 C-RMFG C-LMFG C-RInsula C-LInsula C-AMCC	-.5 -.5 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
pixar	RMFG-TPJ	RTPJ LTPJ PC DMPFC MMPFC VMPFC RS2 LS2 RMFG LMFG RInsula LInsula AMCC C-RTPJ C-LTPJ C-PC C-DMPFC C-MMPFC C-VMPFC C-RS2 C-LS2 C-RMFG C-LMFG C-RInsula C-LInsula C-AMCC	-.5 -.5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
pixar	LMFG-TPJ	RTPJ LTPJ PC DMPFC MMPFC VMPFC RS2 LS2 RMFG LMFG RInsula LInsula AMCC C-RTPJ C-LTPJ C-PC C-DMPFC C-MMPFC C-VMPFC C-RS2 C-LS2 C-RMFG C-LMFG C-RInsula C-LInsula C-AMCC	-.5 -.5 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
pixar	RInsula-TPJ	RTPJ LTPJ PC DMPFC MMPFC VMPFC RS2 LS2 RMFG LMFG RInsula LInsula AMCC C-RTPJ C-LTPJ C-PC C-DMPFC C-MMPFC C-VMPFC C-RS2 C-LS2 C-RMFG C-LMFG C-RInsula C-LInsula C-AMCC	-.5 -.5 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
pixar	LInsula-TPJ	RTPJ LTPJ PC DMPFC MMPFC VMPFC RS2 LS2 RMFG LMFG RInsula LInsula AMCC C-RTPJ C-LTPJ C-PC C-DMPFC C-MMPFC C-VMPFC C-RS2 C-LS2 C-RMFG C-LMFG C-RInsula C-LInsula C-AMCC	-.5 -.5 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
pixar	AMCC-TPJ	RTPJ LTPJ PC DMPFC MMPFC VMPFC RS2 LS2 RMFG LMFG RInsula LInsula AMCC C-RTPJ C-LTPJ C-PC C-DMPFC C-MMPFC C-VMPFC C-RS2 C-LS2 C-RMFG C-LMFG C-RInsula C-LInsula C-AMCC	-.5 -.5 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
sesame	letters-noletters	letters noletters	1 -1
