onset	duration	trial_type
28	8.00000299599924	ment_SD_pos
318	9.9999962949987	ment_SD_neg
288	10.00000004200046	ment_SI_pos
56	12.00001079899812	ment_SI_neg
88	6.00000701500176	ment_HD_pos
258	10.0000138079995	ment_HD_neg
216	8.00000628999988	ment_HI_pos
126	10.00001444400186	ment_HI_neg
186	10.00000630000068	phys_pos
158	8.0000048610018	phys_neg
36	4.0	response
68	2.0	response
94	4.0	response
136	6.0	response
166	4.0	response
196	4.0	response
224	6.0	response
268	4.0	response
298	4.0	response
328	2.0	response
12	16.0	stim_start
40	16.0	stim_start
72	16.0	stim_start
110	16.0	stim_start
142	16.0	stim_start
170	16.0	stim_start
200	16.0	stim_start
242	16.0	stim_start
272	16.0	stim_start
302	16.0	stim_start
