onset	duration	trial_type
152	8.00000609000198	ment_SD_pos
180	6.00001029500344	ment_SD_neg
82	9.99999751299766	ment_SI_pos
244	8.00000415199974	ment_SI_neg
206	6.00000515300052	ment_HD_pos
124	7.99999692200072	ment_HD_neg
304	6.00000310700124	ment_HI_pos
28	8.00000392799848	ment_HI_neg
56	6.0000121890007	phys_pos
272	10.00000625800022	phys_neg
36	4.0	response
62	2.0	response
92	4.0	response
132	4.0	response
160	4.0	response
186	4.0	response
212	4.0	response
252	2.0	response
282	4.0	response
310	2.0	response
12	16.0	stim_start
40	16.0	stim_start
66	16.0	stim_start
108	16.0	stim_start
136	16.0	stim_start
164	16.0	stim_start
190	16.0	stim_start
228	16.0	stim_start
256	16.0	stim_start
288	16.0	stim_start
